year,fullname,count
1970,Mid-year population, age 0 years, by sex,31000.0
1977,Mid-year population, age 0 years, by sex,331900.0
1978,Mid-year population, age 0 years, by sex,336300.0
1979,Mid-year population, age 0 years, by sex,365200.0
1980,Mid-year population, age 0 years, by sex,377000.0
1981,Mid-year population, age 0 years, by sex,374063.0
1982,Mid-year population, age 0 years, by sex,364604.0
1983,Mid-year population, age 0 years, by sex,366711.0
1984,Mid-year population, age 0 years, by sex,365220.0
1985,Mid-year population, age 0 years, by sex,380074.0
1986,Mid-year population, age 0 years, by sex,384347.0
1987,Mid-year population, age 0 years, by sex,387700.0
1988,Mid-year population, age 0 years, by sex,399131.0
1989,Mid-year population, age 0 years, by sex,394485.0
1990,Mid-year population, age 0 years, by sex,396941.0
1991,Mid-year population, age 0 years, by sex,406658.0
1992,Mid-year population, age 0 years, by sex,403022.0
1993,Mid-year population, age 0 years, by sex,388324.0
1994,Mid-year population, age 0 years, by sex,388708.0
1995,Mid-year population, age 0 years, by sex,375808.0
1996,Mid-year population, age 0 years, by sex,369016.0
1997,Mid-year population, age 0 years, by sex,377048.0
1998,Mid-year population, age 0 years, by sex,365825.0
1999,Mid-year population, age 0 years, by sex,362862.0
2000,Mid-year population, age 0 years, by sex,351150.0
2001,Mid-year population, age 0 years, by sex,338338.0
2002,Mid-year population, age 0 years, by sex,338183.0
2003,Mid-year population, age 0 years, by sex,349304.0
2004,Mid-year population, age 0 years, by sex,361669.0
2005,Mid-year population, age 0 years, by sex,366678.0
2006,Mid-year population, age 0 years, by sex,374265.0
2007,Mid-year population, age 0 years, by sex,387490.0
2008,Mid-year population, age 0 years, by sex,403597.0
2009,Mid-year population, age 0 years, by sex,401648.0
2010,Mid-year population, age 0 years, by sex,407398.0
2011,Mid-year population, age 0 years, by sex,416567.0
2012,Mid-year population, age 0 years, by sex,418090.0
2013,Mid-year population, age 0 years, by sex,406642.0
2014,Mid-year population, age 0 years, by sex,398946.0
2015,Mid-year population, age 0 years, by sex,398539.0
2016,Mid-year population, age 0 years, by sex,401630.0
2017,Mid-year population, age 0 years, by sex,391425.0
2018,Mid-year population, age 0 years, by sex,370474.0
2019,Mid-year population, age 0 years, by sex,371576.0
2020,Mid-year population, age 0 years, by sex,361292.0
1981,Mid-year population, age 0 years, by sex,45900.0
1982,Mid-year population, age 0 years, by sex,46300.0
1983,Mid-year population, age 0 years, by sex,47400.0
1984,Mid-year population, age 0 years, by sex,48080.0
1985,Mid-year population, age 0 years, by sex,49000.0
1986,Mid-year population, age 0 years, by sex,49200.0
1987,Mid-year population, age 0 years, by sex,48000.0
1988,Mid-year population, age 0 years, by sex,46800.0
1989,Mid-year population, age 0 years, by sex,46300.0
1990,Mid-year population, age 0 years, by sex,46250.0
1991,Mid-year population, age 0 years, by sex,45650.0
1992,Mid-year population, age 0 years, by sex,40550.0
1993,Mid-year population, age 0 years, by sex,33800.0
1994,Mid-year population, age 0 years, by sex,30250.0
1995,Mid-year population, age 0 years, by sex,29050.0
1996,Mid-year population, age 0 years, by sex,28450.0
1997,Mid-year population, age 0 years, by sex,27950.0
1998,Mid-year population, age 0 years, by sex,27200.0
1999,Mid-year population, age 0 years, by sex,25850.0
2000,Mid-year population, age 0 years, by sex,25150.0
2001,Mid-year population, age 0 years, by sex,24450.0
2002,Mid-year population, age 0 years, by sex,23750.0
2003,Mid-year population, age 0 years, by sex,23750.0
2004,Mid-year population, age 0 years, by sex,24550.0
2005,Mid-year population, age 0 years, by sex,24900.0
2006,Mid-year population, age 0 years, by sex,24600.0
2007,Mid-year population, age 0 years, by sex,25150.0
2008,Mid-year population, age 0 years, by sex,28350.0
2009,Mid-year population, age 0 years, by sex,31550.0
2010,Mid-year population, age 0 years, by sex,32100.0
2011,Mid-year population, age 0 years, by sex,31100.0
2012,Mid-year population, age 0 years, by sex,29700.0
2013,Mid-year population, age 0 years, by sex,29600.0
2014,Mid-year population, age 0 years, by sex,30700.0
2015,Mid-year population, age 0 years, by sex,31033.0
2016,Mid-year population, age 0 years, by sex,29810.5
2017,Mid-year population, age 0 years, by sex,28208.5
2018,Mid-year population, age 0 years, by sex,27032.5
2019,Mid-year population, age 0 years, by sex,25699.0
2020,Mid-year population, age 0 years, by sex,24547.0
1950,Mid-year population, age 0 years, by sex,79500.0
1951,Mid-year population, age 0 years, by sex,81800.0
1952,Mid-year population, age 0 years, by sex,79300.0
1953,Mid-year population, age 0 years, by sex,76400.0
1954,Mid-year population, age 0 years, by sex,76900.0
1955,Mid-year population, age 0 years, by sex,79700.0
1956,Mid-year population, age 0 years, by sex,80700.0
1957,Mid-year population, age 0 years, by sex,80800.0
1958,Mid-year population, age 0 years, by sex,80200.0
1959,Mid-year population, age 0 years, by sex,81200.0
1960,Mid-year population, age 0 years, by sex,81900.0
1961,Mid-year population, age 0 years, by sex,81300.0
1962,Mid-year population, age 0 years, by sex,79000.0
1963,Mid-year population, age 0 years, by sex,77900.0
1964,Mid-year population, age 0 years, by sex,78000.0
1965,Mid-year population, age 0 years, by sex,78900.0
1966,Mid-year population, age 0 years, by sex,79900.0
1967,Mid-year population, age 0 years, by sex,82800.0
1968,Mid-year population, age 0 years, by sex,83300.0
1969,Mid-year population, age 0 years, by sex,81000.0
1970,Mid-year population, age 0 years, by sex,75200.0
1971,Mid-year population, age 0 years, by sex,87900.0
1972,Mid-year population, age 0 years, by sex,70900.0
1973,Mid-year population, age 0 years, by sex,70200.0
1974,Mid-year population, age 0 years, by sex,71200.0
1975,Mid-year population, age 0 years, by sex,72300.0
1976,Mid-year population, age 0 years, by sex,72900.0
1977,Mid-year population, age 0 years, by sex,73300.0
1978,Mid-year population, age 0 years, by sex,73500.0
1979,Mid-year population, age 0 years, by sex,74900.0
1980,Mid-year population, age 0 years, by sex,75900.0
1981,Mid-year population, age 0 years, by sex,73800.0
1982,Mid-year population, age 0 years, by sex,70900.0
1983,Mid-year population, age 0 years, by sex,69000.0
1984,Mid-year population, age 0 years, by sex,66000.0
1985,Mid-year population, age 0 years, by sex,61900.0
1986,Mid-year population, age 0 years, by sex,59000.0
1987,Mid-year population, age 0 years, by sex,58500.0
1988,Mid-year population, age 0 years, by sex,56100.0
1989,Mid-year population, age 0 years, by sex,54200.0
1990,Mid-year population, age 0 years, by sex,53500.0
1991,Mid-year population, age 0 years, by sex,53666.0
1992,Mid-year population, age 0 years, by sex,53851.0
1993,Mid-year population, age 0 years, by sex,53885.0
1994,Mid-year population, age 0 years, by sex,53845.0
1995,Mid-year population, age 0 years, by sex,53744.0
1996,Mid-year population, age 0 years, by sex,53624.0
1997,Mid-year population, age 0 years, by sex,53473.0
1998,Mid-year population, age 0 years, by sex,53259.0
1999,Mid-year population, age 0 years, by sex,52972.0
2000,Mid-year population, age 0 years, by sex,52527.0
2001,Mid-year population, age 0 years, by sex,52600.0
2002,Mid-year population, age 0 years, by sex,52895.0
2003,Mid-year population, age 0 years, by sex,53213.0
2004,Mid-year population, age 0 years, by sex,54055.0
2005,Mid-year population, age 0 years, by sex,54963.0
2006,Mid-year population, age 0 years, by sex,56589.0
2007,Mid-year population, age 0 years, by sex,57798.0
2008,Mid-year population, age 0 years, by sex,59294.0
2009,Mid-year population, age 0 years, by sex,60719.0
2010,Mid-year population, age 0 years, by sex,59835.0
2011,Mid-year population, age 0 years, by sex,56663.0
2012,Mid-year population, age 0 years, by sex,52965.0
2013,Mid-year population, age 0 years, by sex,49901.0
2014,Mid-year population, age 0 years, by sex,47742.0
2015,Mid-year population, age 0 years, by sex,47150.0
2016,Mid-year population, age 0 years, by sex,47754.0
2017,Mid-year population, age 0 years, by sex,47202.0
2018,Mid-year population, age 0 years, by sex,45559.0
2019,Mid-year population, age 0 years, by sex,44242.0
1985,Mid-year population, age 0 years, by sex,32700.0
1986,Mid-year population, age 0 years, by sex,31600.0
1987,Mid-year population, age 0 years, by sex,29700.0
1988,Mid-year population, age 0 years, by sex,29500.0
1989,Mid-year population, age 0 years, by sex,29100.0
1990,Mid-year population, age 0 years, by sex,28700.0
1991,Mid-year population, age 0 years, by sex,27900.0
1992,Mid-year population, age 0 years, by sex,27900.0
1993,Mid-year population, age 0 years, by sex,27900.0
1994,Mid-year population, age 0 years, by sex,26900.0
1995,Mid-year population, age 0 years, by sex,27500.0
1996,Mid-year population, age 0 years, by sex,26400.0
1997,Mid-year population, age 0 years, by sex,28700.0
1998,Mid-year population, age 0 years, by sex,24100.0
1999,Mid-year population, age 0 years, by sex,23500.0
2000,Mid-year population, age 0 years, by sex,24300.0
2001,Mid-year population, age 0 years, by sex,22097.0
2002,Mid-year population, age 0 years, by sex,20700.0
2003,Mid-year population, age 0 years, by sex,20400.0
2004,Mid-year population, age 0 years, by sex,20100.0
2005,Mid-year population, age 0 years, by sex,21960.0
2006,Mid-year population, age 0 years, by sex,21431.0
2007,Mid-year population, age 0 years, by sex,21036.0
2008,Mid-year population, age 0 years, by sex,22173.0
2009,Mid-year population, age 0 years, by sex,22330.0
2010,Mid-year population, age 0 years, by sex,22969.0
2011,Mid-year population, age 0 years, by sex,21610.0
2012,Mid-year population, age 0 years, by sex,21313.0
2013,Mid-year population, age 0 years, by sex,21250.0
2014,Mid-year population, age 0 years, by sex,20528.0
2015,Mid-year population, age 0 years, by sex,19915.0
2016,Mid-year population, age 0 years, by sex,18645.0
2017,Mid-year population, age 0 years, by sex,18994.0
2019,Mid-year population, age 0 years, by sex,18565.0
1950,Mid-year population, age 0 years, by sex,93200.0
1951,Mid-year population, age 0 years, by sex,93000.0
1952,Mid-year population, age 0 years, by sex,90700.0
1953,Mid-year population, age 0 years, by sex,95400.0
1954,Mid-year population, age 0 years, by sex,105000.0
1955,Mid-year population, age 0 years, by sex,106000.0
1956,Mid-year population, age 0 years, by sex,100700.0
1957,Mid-year population, age 0 years, by sex,88200.0
1958,Mid-year population, age 0 years, by sex,80100.0
1959,Mid-year population, age 0 years, by sex,76300.0
1960,Mid-year population, age 0 years, by sex,73500.0
1961,Mid-year population, age 0 years, by sex,71100.0
1962,Mid-year population, age 0 years, by sex,66900.0
1963,Mid-year population, age 0 years, by sex,64900.0
1964,Mid-year population, age 0 years, by sex,65700.0
1965,Mid-year population, age 0 years, by sex,65900.0
1966,Mid-year population, age 0 years, by sex,67500.0
1967,Mid-year population, age 0 years, by sex,71500.0
1968,Mid-year population, age 0 years, by sex,75400.0
1969,Mid-year population, age 0 years, by sex,76900.0
1970,Mid-year population, age 0 years, by sex,76600.0
1971,Mid-year population, age 0 years, by sex,75200.0
1972,Mid-year population, age 0 years, by sex,75700.0
1973,Mid-year population, age 0 years, by sex,77200.0
1974,Mid-year population, age 0 years, by sex,85100.0
1975,Mid-year population, age 0 years, by sex,94500.0
1976,Mid-year population, age 0 years, by sex,94500.0
1977,Mid-year population, age 0 years, by sex,90500.0
1978,Mid-year population, age 0 years, by sex,86500.0
1979,Mid-year population, age 0 years, by sex,82100.0
1980,Mid-year population, age 0 years, by sex,78500.0
1981,Mid-year population, age 0 years, by sex,72900.0
1982,Mid-year population, age 0 years, by sex,69400.0
1983,Mid-year population, age 0 years, by sex,65600.0
1984,Mid-year population, age 0 years, by sex,63300.0
1985,Mid-year population, age 0 years, by sex,64100.0
1986,Mid-year population, age 0 years, by sex,64900.0
1987,Mid-year population, age 0 years, by sex,63800.0
1988,Mid-year population, age 0 years, by sex,63100.0
1989,Mid-year population, age 0 years, by sex,62600.0
1990,Mid-year population, age 0 years, by sex,62738.0
1991,Mid-year population, age 0 years, by sex,63733.0
1992,Mid-year population, age 0 years, by sex,62863.0
1993,Mid-year population, age 0 years, by sex,60442.0
1994,Mid-year population, age 0 years, by sex,58933.0
1995,Mid-year population, age 0 years, by sex,57754.0
1996,Mid-year population, age 0 years, by sex,55264.0
1997,Mid-year population, age 0 years, by sex,52420.0
1998,Mid-year population, age 0 years, by sex,50242.0
1999,Mid-year population, age 0 years, by sex,48983.0
2000,Mid-year population, age 0 years, by sex,49147.0
2001,Mid-year population, age 0 years, by sex,49191.0
2002,Mid-year population, age 0 years, by sex,48925.0
2003,Mid-year population, age 0 years, by sex,48359.0
2004,Mid-year population, age 0 years, by sex,47986.0
2005,Mid-year population, age 0 years, by sex,48903.0
2006,Mid-year population, age 0 years, by sex,50165.0
2007,Mid-year population, age 0 years, by sex,49946.0
2008,Mid-year population, age 0 years, by sex,49523.0
2009,Mid-year population, age 0 years, by sex,49202.5
2010,Mid-year population, age 0 years, by sex,47112.0
2011,Mid-year population, age 0 years, by sex,45277.0
2012,Mid-year population, age 0 years, by sex,45542.0
2013,Mid-year population, age 0 years, by sex,45949.5
2014,Mid-year population, age 0 years, by sex,46750.0
2015,Mid-year population, age 0 years, by sex,47368.0
2016,Mid-year population, age 0 years, by sex,47912.5
2017,Mid-year population, age 0 years, by sex,48486.0
2018,Mid-year population, age 0 years, by sex,47957.0
2019,Mid-year population, age 0 years, by sex,47666.0
1950,Mid-year population, age 0 years, by sex,32200.0
1951,Mid-year population, age 0 years, by sex,32600.0
1952,Mid-year population, age 0 years, by sex,31600.0
1953,Mid-year population, age 0 years, by sex,30800.0
1954,Mid-year population, age 0 years, by sex,30700.0
1955,Mid-year population, age 0 years, by sex,30200.0
1956,Mid-year population, age 0 years, by sex,30400.0
1957,Mid-year population, age 0 years, by sex,30200.0
1958,Mid-year population, age 0 years, by sex,29300.0
1959,Mid-year population, age 0 years, by sex,29600.0
1960,Mid-year population, age 0 years, by sex,30100.0
1961,Mid-year population, age 0 years, by sex,32100.0
1962,Mid-year population, age 0 years, by sex,30600.0
1963,Mid-year population, age 0 years, by sex,31500.0
1964,Mid-year population, age 0 years, by sex,31800.0
1965,Mid-year population, age 0 years, by sex,31500.0
1966,Mid-year population, age 0 years, by sex,32500.0
1967,Mid-year population, age 0 years, by sex,33200.0
1968,Mid-year population, age 0 years, by sex,33100.0
1969,Mid-year population, age 0 years, by sex,32600.0
1970,Mid-year population, age 0 years, by sex,32900.0
1971,Mid-year population, age 0 years, by sex,34000.0
1972,Mid-year population, age 0 years, by sex,34100.0
1973,Mid-year population, age 0 years, by sex,35300.0
1974,Mid-year population, age 0 years, by sex,34300.0
1975,Mid-year population, age 0 years, by sex,34900.0
1976,Mid-year population, age 0 years, by sex,34300.0
1977,Mid-year population, age 0 years, by sex,34900.0
1978,Mid-year population, age 0 years, by sex,35200.0
1979,Mid-year population, age 0 years, by sex,36200.0
1980,Mid-year population, age 0 years, by sex,37400.0
1981,Mid-year population, age 0 years, by sex,37700.0
1982,Mid-year population, age 0 years, by sex,36400.0
1983,Mid-year population, age 0 years, by sex,35900.0
1984,Mid-year population, age 0 years, by sex,32700.0
1985,Mid-year population, age 0 years, by sex,32100.0
1986,Mid-year population, age 0 years, by sex,31300.0
1987,Mid-year population, age 0 years, by sex,30400.0
1988,Mid-year population, age 0 years, by sex,29300.0
1989,Mid-year population, age 0 years, by sex,25300.0
1990,Mid-year population, age 0 years, by sex,26500.0
1991,Mid-year population, age 0 years, by sex,27100.0
1992,Mid-year population, age 0 years, by sex,26900.0
1993,Mid-year population, age 0 years, by sex,26500.0
1994,Mid-year population, age 0 years, by sex,26100.0
1995,Mid-year population, age 0 years, by sex,24900.0
1996,Mid-year population, age 0 years, by sex,25200.0
1997,Mid-year population, age 0 years, by sex,26077.0
1998,Mid-year population, age 0 years, by sex,27036.0
1999,Mid-year population, age 0 years, by sex,27437.0
2000,Mid-year population, age 0 years, by sex,27633.0
2001,Mid-year population, age 0 years, by sex,28427.0
2002,Mid-year population, age 0 years, by sex,27805.0
2003,Mid-year population, age 0 years, by sex,31169.0
2004,Mid-year population, age 0 years, by sex,31455.0
2005,Mid-year population, age 0 years, by sex,31493.0
2006,Mid-year population, age 0 years, by sex,31273.0
2007,Mid-year population, age 0 years, by sex,33707.0
2008,Mid-year population, age 0 years, by sex,36751.0
2009,Mid-year population, age 0 years, by sex,37758.0
2010,Mid-year population, age 0 years, by sex,37758.0
2011,Mid-year population, age 0 years, by sex,36880.0
2012,Mid-year population, age 0 years, by sex,38137.0
2013,Mid-year population, age 0 years, by sex,36394.0
2015,Mid-year population, age 0 years, by sex,32806.0
2018,Mid-year population, age 0 years, by sex,31266.0
1950,Mid-year population, age 0 years, by sex,2000.0
1951,Mid-year population, age 0 years, by sex,2000.0
1952,Mid-year population, age 0 years, by sex,2000.0
1953,Mid-year population, age 0 years, by sex,2200.0
1954,Mid-year population, age 0 years, by sex,2200.0
1955,Mid-year population, age 0 years, by sex,2200.0
1956,Mid-year population, age 0 years, by sex,2300.0
1957,Mid-year population, age 0 years, by sex,2400.0
1958,Mid-year population, age 0 years, by sex,2400.0
1959,Mid-year population, age 0 years, by sex,2200.0
1960,Mid-year population, age 0 years, by sex,2500.0
1961,Mid-year population, age 0 years, by sex,2400.0
1962,Mid-year population, age 0 years, by sex,2400.0
1963,Mid-year population, age 0 years, by sex,2400.0
1964,Mid-year population, age 0 years, by sex,2400.0
1965,Mid-year population, age 0 years, by sex,2400.0
1966,Mid-year population, age 0 years, by sex,2400.0
1967,Mid-year population, age 0 years, by sex,2300.0
1968,Mid-year population, age 0 years, by sex,2200.0
1969,Mid-year population, age 0 years, by sex,2100.0
1970,Mid-year population, age 0 years, by sex,2100.0
1971,Mid-year population, age 0 years, by sex,2100.0
1972,Mid-year population, age 0 years, by sex,2300.0
1973,Mid-year population, age 0 years, by sex,2300.0
1974,Mid-year population, age 0 years, by sex,2300.0
1975,Mid-year population, age 0 years, by sex,2200.0
1976,Mid-year population, age 0 years, by sex,2200.0
1977,Mid-year population, age 0 years, by sex,2100.0
1978,Mid-year population, age 0 years, by sex,2000.0
1979,Mid-year population, age 0 years, by sex,2200.0
1980,Mid-year population, age 0 years, by sex,2300.0
1981,Mid-year population, age 0 years, by sex,2300.0
1982,Mid-year population, age 0 years, by sex,2300.0
1983,Mid-year population, age 0 years, by sex,2200.0
1984,Mid-year population, age 0 years, by sex,2200.0
1985,Mid-year population, age 0 years, by sex,2000.0
1986,Mid-year population, age 0 years, by sex,1900.0
1987,Mid-year population, age 0 years, by sex,2100.0
1988,Mid-year population, age 0 years, by sex,2300.0
1989,Mid-year population, age 0 years, by sex,2400.0
1990,Mid-year population, age 0 years, by sex,2400.0
1991,Mid-year population, age 0 years, by sex,2400.0
1992,Mid-year population, age 0 years, by sex,2400.0
1993,Mid-year population, age 0 years, by sex,2400.0
1994,Mid-year population, age 0 years, by sex,2300.0
1995,Mid-year population, age 0 years, by sex,2300.0
1996,Mid-year population, age 0 years, by sex,2200.0
1997,Mid-year population, age 0 years, by sex,2225.0
1998,Mid-year population, age 0 years, by sex,2070.0
1999,Mid-year population, age 0 years, by sex,2141.0
2000,Mid-year population, age 0 years, by sex,2192.0
2001,Mid-year population, age 0 years, by sex,2157.0
2002,Mid-year population, age 0 years, by sex,2083.0
2003,Mid-year population, age 0 years, by sex,2073.0
2004,Mid-year population, age 0 years, by sex,2180.0
2005,Mid-year population, age 0 years, by sex,2131.0
2006,Mid-year population, age 0 years, by sex,2280.0
2007,Mid-year population, age 0 years, by sex,2325.0
2008,Mid-year population, age 0 years, by sex,2469.0
2009,Mid-year population, age 0 years, by sex,2493.0
2010,Mid-year population, age 0 years, by sex,2529.0
2011,Mid-year population, age 0 years, by sex,2422.0
2012,Mid-year population, age 0 years, by sex,2319.5
2013,Mid-year population, age 0 years, by sex,2227.5
2014,Mid-year population, age 0 years, by sex,2180.0
2015,Mid-year population, age 0 years, by sex,2168.0
2016,Mid-year population, age 0 years, by sex,2082.0
2017,Mid-year population, age 0 years, by sex,2087.0
2018,Mid-year population, age 0 years, by sex,2180.5
2019,Mid-year population, age 0 years, by sex,2256.0
2020,Mid-year population, age 0 years, by sex,2331.0
1970,Mid-year population, age 0 years, by sex,30200.0
1971,Mid-year population, age 0 years, by sex,32100.0
1972,Mid-year population, age 0 years, by sex,32900.0
1973,Mid-year population, age 0 years, by sex,33300.0
1974,Mid-year population, age 0 years, by sex,34800.0
1975,Mid-year population, age 0 years, by sex,47700.0
1976,Mid-year population, age 0 years, by sex,48900.0
1977,Mid-year population, age 0 years, by sex,49100.0
1978,Mid-year population, age 0 years, by sex,47700.0
1979,Mid-year population, age 0 years, by sex,47400.0
1980,Mid-year population, age 0 years, by sex,48000.0
1981,Mid-year population, age 0 years, by sex,47700.0
1982,Mid-year population, age 0 years, by sex,48400.0
1983,Mid-year population, age 0 years, by sex,47000.0
1984,Mid-year population, age 0 years, by sex,50600.0
1985,Mid-year population, age 0 years, by sex,50700.0
1986,Mid-year population, age 0 years, by sex,50600.0
1987,Mid-year population, age 0 years, by sex,50500.0
1988,Mid-year population, age 0 years, by sex,50800.0
1989,Mid-year population, age 0 years, by sex,51400.0
1990,Mid-year population, age 0 years, by sex,52000.0
1991,Mid-year population, age 0 years, by sex,53800.0
1992,Mid-year population, age 0 years, by sex,55400.0
1993,Mid-year population, age 0 years, by sex,57100.0
1994,Mid-year population, age 0 years, by sex,58300.0
1995,Mid-year population, age 0 years, by sex,59400.0
1996,Mid-year population, age 0 years, by sex,61600.0
1997,Mid-year population, age 0 years, by sex,63200.0
1998,Mid-year population, age 0 years, by sex,65400.0
1999,Mid-year population, age 0 years, by sex,67300.0
2000,Mid-year population, age 0 years, by sex,68847.0
2001,Mid-year population, age 0 years, by sex,69938.5
2002,Mid-year population, age 0 years, by sex,70435.0
2003,Mid-year population, age 0 years, by sex,72294.5
2004,Mid-year population, age 0 years, by sex,73769.0
2005,Mid-year population, age 0 years, by sex,73730.5
2006,Mid-year population, age 0 years, by sex,74648.0
2007,Mid-year population, age 0 years, by sex,76594.0
2008,Mid-year population, age 0 years, by sex,78678.0
2009,Mid-year population, age 0 years, by sex,80603.0
2010,Mid-year population, age 0 years, by sex,83254.0
2011,Mid-year population, age 0 years, by sex,84580.0
2012,Mid-year population, age 0 years, by sex,86032.67509
2013,Mid-year population, age 0 years, by sex,87511.98652
2014,Mid-year population, age 0 years, by sex,89223.5
2015,Mid-year population, age 0 years, by sex,91108.03249
2016,Mid-year population, age 0 years, by sex,92345.0
2017,Mid-year population, age 0 years, by sex,93485.48854
2018,Mid-year population, age 0 years, by sex,94072.0
2019,Mid-year population, age 0 years, by sex,93757.0
1950,Mid-year population, age 0 years, by sex,412000.0
1951,Mid-year population, age 0 years, by sex,422600.0
1952,Mid-year population, age 0 years, by sex,418100.0
1953,Mid-year population, age 0 years, by sex,419000.0
1954,Mid-year population, age 0 years, by sex,424600.0
1955,Mid-year population, age 0 years, by sex,430000.0
1956,Mid-year population, age 0 years, by sex,431500.0
1957,Mid-year population, age 0 years, by sex,433100.0
1958,Mid-year population, age 0 years, by sex,432600.0
1959,Mid-year population, age 0 years, by sex,440100.0
1960,Mid-year population, age 0 years, by sex,449600.0
1961,Mid-year population, age 0 years, by sex,452100.0
1962,Mid-year population, age 0 years, by sex,459800.0
1963,Mid-year population, age 0 years, by sex,473800.0
1964,Mid-year population, age 0 years, by sex,494900.0
1965,Mid-year population, age 0 years, by sex,502700.0
1966,Mid-year population, age 0 years, by sex,491800.0
1967,Mid-year population, age 0 years, by sex,477900.0
1968,Mid-year population, age 0 years, by sex,462000.0
1969,Mid-year population, age 0 years, by sex,459500.0
1970,Mid-year population, age 0 years, by sex,453900.0
1971,Mid-year population, age 0 years, by sex,449300.0
1972,Mid-year population, age 0 years, by sex,450900.0
1973,Mid-year population, age 0 years, by sex,438000.0
1974,Mid-year population, age 0 years, by sex,446600.0
1975,Mid-year population, age 0 years, by sex,435700.0
1976,Mid-year population, age 0 years, by sex,416300.0
1977,Mid-year population, age 0 years, by sex,396000.0
1978,Mid-year population, age 0 years, by sex,374600.0
1979,Mid-year population, age 0 years, by sex,356200.0
1980,Mid-year population, age 0 years, by sex,340800.0
1981,Mid-year population, age 0 years, by sex,326700.0
1982,Mid-year population, age 0 years, by sex,315900.0
1983,Mid-year population, age 0 years, by sex,315600.0
1984,Mid-year population, age 0 years, by sex,306300.0
1985,Mid-year population, age 0 years, by sex,300300.0
1986,Mid-year population, age 0 years, by sex,292000.0
1987,Mid-year population, age 0 years, by sex,285900.0
1988,Mid-year population, age 0 years, by sex,290200.0
1989,Mid-year population, age 0 years, by sex,291800.0
1990,Mid-year population, age 0 years, by sex,293000.0
1991,Mid-year population, age 0 years, by sex,286800.0
1992,Mid-year population, age 0 years, by sex,262256.0
1993,Mid-year population, age 0 years, by sex,293100.0
1994,Mid-year population, age 0 years, by sex,281875.0
1995,Mid-year population, age 0 years, by sex,274171.0
1996,Mid-year population, age 0 years, by sex,269122.0
1997,Mid-year population, age 0 years, by sex,273472.0
1998,Mid-year population, age 0 years, by sex,273404.0
1999,Mid-year population, age 0 years, by sex,270959.0
2000,Mid-year population, age 0 years, by sex,272792.0
2001,Mid-year population, age 0 years, by sex,274518.0
2002,Mid-year population, age 0 years, by sex,269916.0
2003,Mid-year population, age 0 years, by sex,275143.0
2004,Mid-year population, age 0 years, by sex,282307.0
2005,Mid-year population, age 0 years, by sex,284986.0
2006,Mid-year population, age 0 years, by sex,283842.5
2007,Mid-year population, age 0 years, by sex,286578.0
2008,Mid-year population, age 0 years, by sex,289945.0
2009,Mid-year population, age 0 years, by sex,290753.0
2010,Mid-year population, age 0 years, by sex,287504.0
2011,Mid-year population, age 0 years, by sex,277315.0
2012,Mid-year population, age 0 years, by sex,270624.0
2013,Mid-year population, age 0 years, by sex,265453.0
2014,Mid-year population, age 0 years, by sex,258634.0
2015,Mid-year population, age 0 years, by sex,250929.0
2016,Mid-year population, age 0 years, by sex,243378.0
2017,Mid-year population, age 0 years, by sex,237420.0
1981,Mid-year population, age 0 years, by sex,181200.0
1982,Mid-year population, age 0 years, by sex,186000.0
1983,Mid-year population, age 0 years, by sex,194300.0
1984,Mid-year population, age 0 years, by sex,195389.0
1985,Mid-year population, age 0 years, by sex,200100.0
1986,Mid-year population, age 0 years, by sex,202200.0
1987,Mid-year population, age 0 years, by sex,205400.0
1988,Mid-year population, age 0 years, by sex,205300.0
1989,Mid-year population, age 0 years, by sex,197900.0
1990,Mid-year population, age 0 years, by sex,185900.0
1991,Mid-year population, age 0 years, by sex,178800.0
1992,Mid-year population, age 0 years, by sex,179100.0
1993,Mid-year population, age 0 years, by sex,181200.0
1994,Mid-year population, age 0 years, by sex,168400.0
1995,Mid-year population, age 0 years, by sex,146400.0
1996,Mid-year population, age 0 years, by sex,130700.0
1997,Mid-year population, age 0 years, by sex,121800.0
1998,Mid-year population, age 0 years, by sex,112200.0
1999,Mid-year population, age 0 years, by sex,109000.0
2000,Mid-year population, age 0 years, by sex,107804.0
2001,Mid-year population, age 0 years, by sex,110743.0
2002,Mid-year population, age 0 years, by sex,114860.0
2003,Mid-year population, age 0 years, by sex,121869.0
2004,Mid-year population, age 0 years, by sex,132211.0
2005,Mid-year population, age 0 years, by sex,140078.0
2006,Mid-year population, age 0 years, by sex,147296.0
2007,Mid-year population, age 0 years, by sex,158166.0
2008,Mid-year population, age 0 years, by sex,171414.0
2009,Mid-year population, age 0 years, by sex,180751.0
2010,Mid-year population, age 0 years, by sex,183832.0
2011,Mid-year population, age 0 years, by sex,187700.0
2012,Mid-year population, age 0 years, by sex,191150.0
2013,Mid-year population, age 0 years, by sex,195369.0
2014,Mid-year population, age 0 years, by sex,201267.0
2015,Mid-year population, age 0 years, by sex,203615.0
2016,Mid-year population, age 0 years, by sex,201799.5
2017,Mid-year population, age 0 years, by sex,202800.0
2018,Mid-year population, age 0 years, by sex,201799.5
2019,Mid-year population, age 0 years, by sex,204682.5
2020,Mid-year population, age 0 years, by sex,212465.0
1981,Mid-year population, age 0 years, by sex,54500.0
1982,Mid-year population, age 0 years, by sex,57000.0
1983,Mid-year population, age 0 years, by sex,60600.0
1984,Mid-year population, age 0 years, by sex,60933.0
1985,Mid-year population, age 0 years, by sex,62900.0
